leg,libelle_in,count
0,Av_de_Friedland,17764
0,Av_Hoche,8882
1,Av_de_Wagram,17764
3,Av_Mac_Mahon,8882
4,Av_Carnot,8882
5,Av_de_la_Grande_Armee,17764
6,Av_Foch,17764
6,Av_Victor_Hugo,17764
7,Av_Kleber,8882
9,Av_Iena,17764
11,Av_des_Champs_Elysees,17764
