leg,veh_out_total,p_exit_global
0,5510581.9,0.1421954083247224
1,13255514.0,0.3420461323302489
4,0.0,0.0
5,1815424.5,0.04684533008396173
6,9194636.0,0.23725897630106763
9,0.0,0.0
10,7063894.0,0.1822771732496266
11,1913535.0,0.04937697971037281
