Avenue12,mean_flow_per_hour_daily,lambda_per_second_daily,lambda_per_minute_daily
avenue d'iena,270.6275862068965,0.0751743295019157,4.5104597701149425
avenue de friedland,459.8801410105758,0.12774448361404883,7.664669016842931
avenue de wagram,934.4328358208955,0.25956467661691546,15.573880597014925
avenue foch,662.625,0.1840625,11.04375
avenue marceau,930.5923913043479,0.25849788647342997,15.509873188405798
