,Av_Hoche,Av_de_Wagram,leg_3,Av_Carnot,Av_de_la_Grande_Armee,Av_Victor_Hugo,leg_7,Av_de_Iena,Av_Marceau,Av_des_Champs_Elysees
Av_Hoche,0.0,0.39910922321587006,0.0,0.0,0.057023951313268866,0.24089647163570801,0.0,0.0,0.24677194350622236,0.056198410328930734
Av_de_Wagram,0.23417148165250048,0.0,0.0,0.0,0.07267638284993896,0.3070198363423892,0.0,0.0,0.31450805897957057,0.07162424017560078
Av_Mac_Mahon,0.15521817374016614,0.33716021846544636,0.0,0.0,0.04817279773097512,0.20350496124796366,0.0,0.0,0.20846845310487505,0.04747539571057361
Av_Carnot,0.15521817374016614,0.33716021846544636,0.0,0.0,0.04817279773097512,0.20350496124796366,0.0,0.0,0.20846845310487505,0.04747539571057361
Av_de_la_Grande_Armee,0.163073899726912,0.35422418865704075,0.0,0.0,0.0,0.21380452330300698,0.0,0.0,0.21901922177461938,0.04987816653842085
Av_Foch,0.1948765104467756,0.4233048569815519,0.0,0.0,0.060480976512362436,0.0,0.0,0.0,0.2617322682028345,0.059605387856475504
Av_Kleber,0.15521817374016614,0.33716021846544636,0.0,0.0,0.04817279773097512,0.20350496124796366,0.0,0.0,0.20846845310487505,0.04747539571057361
Av_Iena,0.15521817374016614,0.33716021846544636,0.0,0.0,0.04817279773097512,0.20350496124796366,0.0,0.0,0.20846845310487505,0.04747539571057361
leg_10,0.196098531194401,0.4259592934583552,0.0,0.0,0.06086023724504544,0.2571027801055254,0.0,0.0,0.0,0.05997915799667291
Av_des_Champs_Elysees,0.1629545032655165,0.353964839277789,0.0,0.0,0.05057380934208154,0.2136479838227132,0.0,0.0,0.2188588642918997,0.0
