,Av_Hoche,Av_de_Wagram,leg_3,Av_Carnot,Av_de_la_Grande_Armee,Av_Victor_Hugo,leg_7,Av_de_Iena,Av_Marceau,Av_des_Champs_Elysees
Av_Hoche,0.0,0.3607728664696562,0.0,0.0,0.1212058837968854,0.21573547272094307,0.0,0.0,0.25235187893053473,0.04993389808198071
Av_de_Wagram,0.4077993880446702,0.0,0.0,0.0,0.11228903591855247,0.19986429277528495,0.0,0.0,0.23378691124294387,0.046260372018548435
Av_Mac_Mahon,0.30564362723746397,0.2505049389530132,0.0,0.0,0.08416007783068277,0.14979730031472505,0.0,0.0,0.1752221353140167,0.03467192035009828
Av_Carnot,0.30564362723746397,0.2505049389530132,0.0,0.0,0.08416007783068277,0.14979730031472505,0.0,0.0,0.1752221353140167,0.03467192035009828
Av_de_la_Grande_Armee,0.3337304040137242,0.2735248080905352,0.0,0.0,0.0,0.1635627544603052,0.0,0.0,0.19132397602735454,0.03785805740808082
Av_Foch,0.35949500907325516,0.29464142967993895,0.0,0.0,0.09898825052171306,0.0,0.0,0.0,0.20609454119456433,0.040780769530528435
Av_Kleber,0.30564362723746397,0.2505049389530132,0.0,0.0,0.08416007783068277,0.14979730031472505,0.0,0.0,0.1752221353140167,0.03467192035009828
Av_Iena,0.30564362723746397,0.2505049389530132,0.0,0.0,0.08416007783068277,0.14979730031472505,0.0,0.0,0.1752221353140167,0.03467192035009828
leg_10,0.3705769035809797,0.30372412946410443,0.0,0.0,0.10203969024159608,0.18162138768328512,0.0,0.0,0.0,0.04203788903003463
Av_des_Champs_Elysees,0.3166215027623692,0.25950238497554584,0.0,0.0,0.08718287554756031,0.15517760590684615,0.0,0.0,0.18151563080767838,0.0
