,Av_Hoche,Av_de_Wagram,leg_3,Av_Carnot,Av_de_la_Grande_Armee,Av_Victor_Hugo,leg_7,Av_de_Iena,Av_Marceau,Av_des_Champs_Elysees
Av_Hoche,0.0,0.39242433248879033,0.0,0.0,0.059170075253413154,0.2842325384564066,0.0,0.0,0.18818160212519422,0.0759914516761956
Av_de_Wagram,0.369129169479617,0.0,0.0,0.0,0.06143872527019132,0.2951303470256264,0.0,0.0,0.19539670524937078,0.07890505297519435
Av_Mac_Mahon,0.26226426139924686,0.28950545477352535,0.0,0.0,0.043651879170138914,0.20968850169250416,0.0,0.0,0.13882829323490326,0.05606160972968162
Av_Carnot,0.26226426139924686,0.28950545477352535,0.0,0.0,0.043651879170138914,0.20968850169250416,0.0,0.0,0.13882829323490326,0.05606160972968162
Av_de_la_Grande_Armee,0.2742351406218791,0.30271974029949467,0.0,0.0,0.0,0.2192595950421789,0.0,0.0,0.14516501910877017,0.0586205049276771
Av_Foch,0.3318492290203331,0.3663181611219377,0.0,0.0,0.05523376448858745,0.0,0.0,0.0,0.17566275263894446,0.07093609273019719
Av_Kleber,0.26226426139924686,0.28950545477352535,0.0,0.0,0.043651879170138914,0.20968850169250416,0.0,0.0,0.13882829323490326,0.05606160972968162
Av_Iena,0.26226426139924686,0.28950545477352535,0.0,0.0,0.043651879170138914,0.20968850169250416,0.0,0.0,0.13882829323490326,0.05606160972968162
leg_10,0.3045435182542348,0.33617622652864765,0.0,0.0,0.050688937905441316,0.24349209344112974,0.0,0.0,0.0,0.06509922387054644
Av_des_Champs_Elysees,0.27784044393420787,0.30669952377995646,0.0,0.0,0.04624441554669494,0.22214214810402513,0.0,0.0,0.14707346863511567,0.0
