,Av_Hoche,Av_de_Wagram,leg_3,Av_Carnot,Av_de_la_Grande_Armee,Av_Victor_Hugo,leg_7,Av_de_Iena,Av_Marceau,Av_des_Champs_Elysees
Av_Hoche,0.0,0.37572327789567894,0.0,0.0,0.08367607106724233,0.29647166415557774,0.0,0.0,0.21228200305932887,0.03184698382217214
Av_de_Wagram,0.3201210230669259,0.0,0.0,0.0,0.09112882088444947,0.3228774108960885,0.0,0.0,0.2311892562240408,0.03468348892849529
Av_Mac_Mahon,0.22716705691283673,0.29037132664247367,0.0,0.0,0.06466762426886752,0.2291230687513042,0.0,0.0,0.1640585251887793,0.024612398235738568
Av_Carnot,0.22716705691283673,0.29037132664247367,0.0,0.0,0.06466762426886752,0.2291230687513042,0.0,0.0,0.1640585251887793,0.024612398235738568
Av_de_la_Grande_Armee,0.24287308213325165,0.310447210186107,0.0,0.0,0.0,0.24496433000322781,0.0,0.0,0.1754013112831016,0.02631406639431197
Av_Foch,0.29468654165699687,0.376676632639816,0.0,0.0,0.08388838950481556,0.0,0.0,0.0,0.2128206443057403,0.03192779189263125
Av_Kleber,0.22716705691283673,0.29037132664247367,0.0,0.0,0.06466762426886752,0.2291230687513042,0.0,0.0,0.1640585251887793,0.024612398235738568
Av_Iena,0.22716705691283673,0.29037132664247367,0.0,0.0,0.06466762426886752,0.2291230687513042,0.0,0.0,0.1640585251887793,0.024612398235738568
leg_10,0.2717499535049837,0.3473584400248208,0.0,0.0,0.07735903315895566,0.27408984439137524,0.0,0.0,0.0,0.02944272891986457
Av_des_Champs_Elysees,0.23289926640644348,0.2976983981724351,0.0,0.0,0.06629941179475526,0.23490463517976956,0.0,0.0,0.16819828844659657,0.0
