leg,inbound_veh_total,outbound_veh_total,in_pct,out_pct,pct_diff
1,0.0,187821.0,0.0,0.2755713100424828,0.2755713100424828
10,0.0,116131.0,0.0,0.17038761270860858,0.17038761270860858
6,46594.0,148953.0,0.09558410227585104,0.21854411032183804,0.122960008045987
9,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
0,136463.0,160093.0,0.2799436268375641,0.23488873841919275,-0.045054888418371325
3,54717.0,0.0,0.11224782856650516,0.0,-0.11224782856650516
11,109671.0,26447.0,0.22498184488764345,0.03880308611227468,-0.18617875877536877
5,140021.0,42124.5,0.2872425974324363,0.06180514239560309,-0.2254374550368332
